"stn_code","stn_name","zone_code","division_code","latitude","longitude"
EVA,Edavai                                                      ,SR,TVC,"8.76335133","76.69752617"
FAP,Fakharpur Halt,NR,DLI,"28.84197611","77.29432694"
AAGJ,ADANI AGRI LOGISTICS (DARBHANGA) LIMITED GCT,ECR,SPJ,"26.4075","85.7455"
BNPL,Bondapalli Halt,ECOR,WAT,"18.2466053","83.33677471"
LIJ,Lakshmiganj,NER,BSB,"26.93019939","83.78259143"
AON,Araon,NCR,PRYJ,"27.115","78.69330667"
AONI,AMONI,NFR,LMG,"26.44835604","92.91964657"
ANY,Arumuganeri                                                 ,SR,MDU,"8.57944067","78.0920275"
LIG,Linga,SECR,NAG,"21.96482067","78.93724083"
ABRV,Ambari Richhavi,WR,BRC,"22.31955215","74.27190885"
KLU,Kalluru Jn,SCOR,GTL,"14.92275033","77.58230933"
CHKE,Challakere                                                  ,SWR,MYS,"14.31530667","76.66012667"
ACBD,A Cabin/BMY                                                 ,SECR,R,"21.23480333","81.49631917"
KMM,Kannamangalam                                               ,SR,TPJ,"12.75375123","79.16162932"
KMPD,Karampada                                                   ,SER,CKP,"22.0623483","85.2242109"
BNPR,BANIKPUR HALT,ECR,SEE,"25.39997867","87.13894433"
KMPU,Kamalapur,SCR,SC,"17.58679084","76.9797206"
APR,Anuppur Jn.,SECR,BSP,"23.11780124","81.69557296"
CHIB,Chirai                                                      ,WR,ADI,"23.21956534","70.2659337"
ABKH,"Bhowrah No. 6, Khanudih                                     ",SER,ADRA,"23.654588","86.44043"
KMME,Kumardubi,ER,ASN,"23.74773667","86.79253167"
ABSB,"Ballihari No.11, Bagha                                      ",SER,ADRA,"23.654588","86.44043"
ABSD,"223ABOD MILITARY SIDING                                     ",NR,FZR,"31.380753","75.542164"
ABSK,Bhowrah no. 4 of m/s. bccl                                  ,SER,ADRA,"23.654588","86.44043"
ACCJ,"ACC LTD. SDG,  JHINKPANI                                    ",SER,CKP,"22.411524","85.768236"
CHJ,Chata,NCR,AGRA,"27.71240167","77.50237833"
CHLR,Chhalesar,NCR,AGRA,"27.21491","78.09039333"
FAR,Farah,NCR,AGRA,"27.33466167","77.74423667"
ACLR, m/s AMBUJA CEMENT LTD,NWR,AII,"25.7228","73.6095"
LJN,Lucknow Jn.,NER,LJN,"26.83194161","80.92216225"
FKB,Fakharbad,SCR,HYB,"18.81646667","77.97953056"
ASAF,Asifabad Road,SCR,SC,"19.25631214","79.41669246"
CHMG,Chintpurni Marg,NR,UMB,"31.72258855","76.04881847"
ACSG,"DCOS SDG, DAHOD                                             ",WR,RTM,"22.843907","74.253674"
ACPC,M/s.Arjas Steel Private Limited Sdg served by CLPE Rly Stn GTL,SCOR,GTL,"14.876608","78.034318"
LMC,Lakhamanchi                                                 ,WR,RJT,"22.57178388","71.14814661"
PKQ,Pattikkad Halt                                              ,SR,PGT,"11.0154415","76.22398983"
ARK,Araku,ECOR,RGDA,"18.33270283","82.865323"
PKR,Pakur,ER,HWH,"24.63762288","87.85595182"
CHNN,Channani                                                    ,NWR,JP,"26.49932425","75.92004262"
KMSD,Kumar Sadra,ECOR,RGDA,"18.91961917","81.68617733"
FKG,Furkating Jn.,NFR,TSK,"26.46437494","94.00192298"
HPH,Hanumapura Halt,SCOR,GTL,"15.9764655","77.30807833"
HRPG,Harpalganj                                                  ,NR,LKO,"25.94735217","82.40498117"
KMST,Kamshet,CR,PUNE,"18.76770567","73.55659233"
ASAN,Asan                                                        ,NR,DLI,"29.40126167","76.86940167"
FKM,Fakiragram Jn.,NFR,APDJ,"26.36421333","90.184975"
CHNR,Chhan Arorian,NR,JAT,"32.46172833","75.35898483"
KNDI,Kandrori,NR,JAT,"32.18481117","75.66906467"
KMRD,Kalamb Road,CR,SUR,"18.371845","76.049265"
FN,Farukhnagar,NR,DLI,"28.4673365","76.82543"
BMN,Bhimana                                                     ,NWR,AII,"24.59598889","72.88655"
LMD,Linganenidoddi,SCOR,GTL,"15.39907415","77.70319563"
CHP,Chhapi                                                      ,WR,ADI,"24.0338015","72.40021183"
KNDL,Khandel                                                     ,NWR,JP,"26.95268854","75.27956502"
LMG,Lumding Jn.,NFR,LMG,"25.75019333","93.17599667"
AST,Asaoti,NR,DLI,"28.25200217","77.32431583"
BMKJ,Bhimkhoj                                                    ,ECOR,SBP,"21.08012683","82.28849917"
CHPG,Chhapra gramin,NER,BSB,"25.78041729","84.77777081"
KNSR,Kanasar                                                     ,NWR,BKN,"28.139546","73.328072"
AFCS,"FCI SDG, ANGAMALI FOR KALADI                                ",SR,TVC,"10.183456","76.37764"
LMM,Lailakh Mamalkha                                            ,ER,MLDT,"25.218","87.10532833"
AFSN,ALMOHRI WHARFWALL NCL SIDING,ECR,DHN,"24.122534","82.705393"
ASK,Arsikere Jn.,SWR,MYS,"13.31380167","76.25293333"
BMM,Bhaskarapara                                                ,WR,RJT,"22.99137583","71.91014539"
FLD,Phulad                                                      ,NWR,AII,"25.62275447","73.81192205"
LMN,Lachhmanpur                                                 ,NR,LKO,"26.050597","81.2571385"
HRR,Harihar,SWR,MYS,"14.51565667","75.81082333"
PLF,Piali                                                       ,ER,SDAH,"22.38781425","88.5182652"
KNH,Konch,NCR,JHS,"25.995295","79.15785833"
HRS,Hathras Jn.,NCR,PRYJ,"27.62429167","78.13717"
AGI,Amguri,NFR,TSK,"26.81285612","94.52406974"
AUBR,Anugrah Narayan Road                                        ,ECR,DDU,"24.85589083","84.330204"
CHRI,CHARHI                                                      ,ECR,DHN,"23.84181667","85.44180278"
KONY,Kisoni                                                      ,WR,RTM,"23.30390333","76.37715"
KO,Kosgi,SCOR,GTL,"15.8491895","77.23624617"
FSW,Fateh Singhwala                                             ,NWR,BKN,"29.91247767","74.10359267"
KNT,Kanth                                                       ,NR,MB,"29.05951333","78.62126683"
PLL,Parli                                                       ,SR,PGT,"10.80037974","76.5586997"
FTC,Fatehpur Chaurasi,NR,MB,"26.81154705","80.29128253"
FTD,Fatehabad Chandrawati Ganj Jn.                              ,WR,RTM,"23.010815","75.673303"
PLLD,PHALTAN,CR,PUNE,"18.00855017","74.4154221"
CHU,Champion,SWR,SBC,"12.936468","78.263137"
AUB,Aluabari Road,NFR,KIR,"26.26943333","88.18543"
CHRM,Chirimiri,SECR,BSP,"23.19039352","82.35018887"
ATU,Attur                                                       ,SR,SA,"11.59528912","78.59357032"
ATUL,Atul                                                        ,WR,BCT,"20.5471885","72.92770833"
CHRU,Chamrua,NER,IZN,"28.78558144","79.1035325"
FTH,Fatuhi                                                      ,NR,UMB,"30.05322667","73.86931167"
KODI,Kodi                                                        ,SCR,NED,"19.70239722","76.015525"
CHUA,Chourai,SECR,NAG,"22.05429155","79.26176946"
AUL,Agsauli,NER,IZN,"27.71780167","78.47701"
AIS,Ajmer Store Siding                                          ,NWR,AII,"26.456742","74.637594"
FUT,FATUHA                                                      ,ECR,DNR,"25.50241364","85.30466253"
LMT,Almatti                                                     ,SWR,UBL,"16.345145","75.90128167"
AHU,Ahirauli (Halt),NER,LJN,"27.30363125","83.0388634"
PLVA,Pallevada    Halt,SCOR,BZA,"16.57635327","81.28755887"
PLU,Patakottacheruvu,SCOR,GTL,"15.17164483","77.5236905"
LNK,Lohian Khas Jn.                                             ,NR,FZR,"31.1652205","75.19658883"
PLW,Pingleswar,WR,RTM,"23.21125","75.86081"
AWH,Alewahi,SECR,NAG,"20.364452","79.703589"
KORI,Khori                                                       ,NWR,JP,"28.18852719","76.50217566"
LNL,LONAVALA,CR,CSTM,"18.75086467","73.4057705"
AJBB,"Jardian Balihery -2 (JB-2) (South), Bhaga                   ",SER,ADRA,"23.888685","86.597473"
FYZ,Faizullapur,NCR,PRYJ,"25.86743833","80.89786"
FZD,Firozabad,NCR,PRYJ,"27.14780167","78.385775"
AWG,Awa Garh,NCR,PRYJ,"27.46258333","78.48256333"
AWL,Alawal Pur                                                  ,NR,FZR,"31.42548217","75.64264433"
AZA,Azara,NFR,RNY,"26.1021231","91.6165746"
LMU,Limarua P.H.,SECR,NAG,"22.52448996","80.35007633"
LNP,Langarpeth,CR,SUR,"17.084","74.966355"
BA,Bandra Jn.                                                  ,WR,BCT,"19.05524933","72.84054583"
CHV,Charvattur                                                  ,SR,PGT,"12.21459958","75.15463513"
CHWT,Chaprawat Halt                                              ,NR,MB,"28.54144233","77.79961967"
HSL,Hisvahal,CR,BSL,"20.28131833","74.5603775"
LNR,Luni Richha,WCR,KOTA,"23.6610795","75.51440267"
KOU,Koduru,SCOR,GTL,"13.948383","79.346528"
BMPR,Badampahar                                                  ,SER,CKP,"22.08873216","86.1121898"
LNT,LINGTI,CR,NGP,"19.79643","78.75219833"
AKFS,"Transformers and Electricals Kerala Ltd, AFK                ",SR,TVC,"10.183456","76.37764"
BMQ,Bhimarlai                                                   ,NWR,JU,"25.89319444","71.882025"
AJLE,Azimganj Jn. Cabin                                          ,ER,HWH,"24.23954055","88.24431342"
FZL,Fazalpur                                                    ,NR,MB,"29.5931865","78.27750533"
AJWA,Ajwa                                                        ,WR,BRC,"22.36295913","73.38469894"
PLY,Plassey                                                     ,ER,SDAH,"23.77850667","88.28465333"
HSK,Harishankar Road                                            ,ECOR,SBP,"20.62645683","82.765744"
KOTT,Kottur Halt,SCR,HYB,"17.14947222","78.28594167"
BAA,Barala,ER,HWH,"24.26620833","88.16143333"
GAJU,Gaju Halt                                                   ,NR,MB,"27.20088799","80.3697545"
BAHI,Balenahalli                                                 ,SWR,MYS,"14.24440167","76.554875"
KOV,Kirloskarvadi,CR,PUNE,"17.08315131","74.41720506"
KOY,Kherol                                                      ,WR,ADI,"23.3060195","72.93275533"
LOD,Lekoda                                                      ,WR,RTM,"23.07699467","75.69920762"
PMB,Pullambadi                                                  ,SR,TPJ,"10.93986667","78.91702222"
GAJ,Ganeshganj,WCR,JBP,"23.89541633","79.07337667"
CIA,Chheharta                                                   ,NR,FZR,"31.62225317","74.79471067"
PMD,Pamidi,SCOR,GTL,"14.97871717","77.598796"
BAKL,Bakal,SECR,NAG,"21.12407283","80.94220333"
BAL,Budalur,SR,TPJ,"10.78298889","78.98196389"
GAI,GAUCHHARI,ECR,SEE,"25.44021952","86.67212401"
AKWS,"KARGALI WASHERY,BERMO                                       ",SER,ADRA,"23.772778","85.956173"
PMI,Paimar                                                      ,ECR,DNR,"24.80683617","85.11069883"
KOZ,Kosma,NCR,PRYJ,"27.15764333","78.83918167"
KPE,Kauwapur,NER,LJN,"27.51413736","82.29671173"
PMK,Paramakkudi,SR,MDU,"9.53803933","78.59236583"
LOG,Lohgara,NCR,PRYJ,"25.222925","81.67842333"
LOK,Loknath,ER,HWH,"22.87220132","88.03286859"
GAL,Ghatala                                                     ,NWR,JP,"27.73640081","76.63037995"
BALE,Bale,CR,SUR,"17.676283","75.845263"
CJN,Chhatna                                                     ,SER,ADRA,"23.30486282","86.97481214"
BAR,Bar                                                         ,NWR,AII,"26.0637","74.11112778"
