SEGMENT
ADE-CVR
ADE-VRL
ADF-EKI
ADF-OMLF
ADH-BA
ADH-BDTS
ADH-BVI
ADH-JOS
ADH-STC
ADH-VLP
ADI-AECS
ADI-ASV
ADI-GG
ADI-KKEC
ADI-KKF
ADI-KKLS
ADI-SBIB
ADI-SBT
ADI-SBTA
ADL-BKNM
ADL-BTNG
ADL-MNKH
ADL-MRFO
ADL-MRGM
ADL-SEL
ADL-SRC
ADMS-DHPR
ADPT-TE
ADPT-TENI
ADPT-USLP
ADQ-NAK
ADQ-TKG
ADR-BHT
ADR-JKHI
ADRA-ADAW
ADRA-ADRE
ADRA-BQA
ADRA-FCIP
ADRA-GRB
ADRA-JOC
ADRA-PSAD
ADRA-SNKR
ADRE-ADRA
ADRE-IBL
ADSL-LLU
ADSR-DOS
ADSR-SEB
ADST-BDC
ADST-MUG
ADT-KMU
ADT-KTM
ADTL-DOE
ADTL-GISG
ADTL-JBP
ADTL-NQSG
ADTP-GMH
ADTP-TATA
ADTP-TWS
ADVI-NIV
ADVI-VRLI
ADX-CAO
ADX-RXL
AECS-ADI
AECS-SBI
AECS-SBT
AECS-SBTA
AEH-ARI
AEH-DBA
AEK-HLE
AEK-MNKH
AEL-KTWS
AEL-MBV
AELN-CMLK
AELN-DBLN
AELN-FLN
AELN-KTWS
AELN-REJN
AEMD-DRD
AEYD-AKT
AEYD-ALIL
AEYD-LCA
AF-IDH
AF-JAB
AFCS-AFK
AFK-AFCS
AFK-AKFS
AFK-AKIS
AFK-AWY
AFK-KLMR
AFK-KUC
AFK-PNQ
AFR-DUB
AFR-SSKA
AFSD-DGU
AFSN-SKTN
AG-BGL
AG-RHA
AGA-JAB
AGA-RKM
AGAE-DHAE
AGAE-PTAE
AGB-AGZ
AGB-KPRR
AGC-ARSG
AGC-BCP
AGC-BHA
AGC-FGSG
AGC-IDH
AGC-PTLI
AGC-RKM
AGCI-SVL
AGCI-TAS
AGD-BINA
AGD-KOA
AGD-LAR
AGD-MAKR
AGD-MDVK
AGI-MXN
AGI-NMT
AGI-SLGR
AGI-SLX
AGI-TULI
AGM-PRL
AGM-TJM
AGMN-BXHT
AGMN-GKJ
AGN-GDM
AGN-SKS
AGQ-BAU
AGQ-CDI
AGR-BMI
AGR-PCN
AGS-AWR
AGSA-AJNI
AGT-CGS
AGT-ICDA
AGT-KYQ
AGTL-BHRM
AGTL-BLGH
AGTL-JRNA
AGTL-KUGT
AGX-TTP
AGY-CPU
AGY-CUK
AGZ-AGB
AGZ-BCHL
AGZ-MVF
AGZ-NKX
AGZ-NMAG
AH-BTE
AH-CIK
AH-IDH
AH-MTJ
AH-PRK
AH-RAI
AHA-KJH
AHA-MSDN
AHH-DUI
AHH-GFPA
AHH-KUP
AHH-QRP
AHJU-BJPL
AHJU-JDNX
AHO-AII
AHO-HTD
AHO-MDJN
AHO-NSD
AHZ-MFKA
AHZ-NHH
AI-AJE
AI-BHUJ
AI-DU
AI-DVRD
AI-GIMB
AI-GIMC
AI-MDAR
AI-WPA
AIA-BWL
AIA-HSI
AIG-AJI
AIG-KH
AII-AHO
AII-AIIW
AII-AIS
AII-DOZ
AII-MDJN
AIIW-AII
AIP-AIPC
AIP-AIPH
AIP-AIPL
AIP-AIPO
AIP-AIPP
AIP-AIPS
AIP-AIPZ
AIP-ENF
AIP-ENR
AIP-EPHY
AIP-KPCA
AIP-MJR
AIP-NPKM
AIPC-AIP
AIPH-AIP
AIPH-ENR
AIPL-AIP
AIPO-AIP
AIPO-EPHY
AIPP-AIP
AIPP-AIPS
AIPP-ENF
AIPP-ENR
AIPP-EPHY
AIPP-KPCA
AIPS-AIP
AIPS-AIPP
AIPS-NPKM
AIPZ-AIP
AIRL-CRTK
AIRL-DIVA
AIRL-KYN
AIRL-RABE
AIRL-TAPG
AIRL-TNA
AIS-AII
AIT-BHUA
AIT-CGN
AIT-KNH
AIT-LLR
AIT-PRN
AJ-JTU
AJ-SIC
AJBB-SDMD
AJBB-VAA
AJE-AI
AJE-RUT
AJH-CHJ
AJH-VRBD
AJI-AIG
AJI-TDP
AJIT-DOR
AJIT-SMR
AJJ-AJJB
AJJ-AJJN
AJJ-CGL
AJJ-CJ
AJJ-EWS
AJJ-FBW
AJJ-MLPM
AJJ-RU
AJJ-TI
AJJ-TO
AJJB-AJJ
AJJN-AJJ
AJJN-MLPM
AJJN-TRT
AJL-JGN
AJL-MOGA
AJLE-AZ
AJLE-GSGB
AJLE-NBKH
AJLE-PRDG
AJM-GNC
AJM-KLL
AJM-UMN
AJMB-GNC
AJMB-KLL
AJMK-CRP
AJMK-MHQ
AJN-FTD
AJN-PLA
AJNI-AGSA
AJNI-AQX
AJNI-FNSG
AJNI-KRI
AJNI-NGP
AJP-NVF
AJP-SHV
AJR-DER
AJR-DKDE
AJRE-DML
AJRE-JID
AJRE-SNBR
AJU-DEW
AJU-WDG
AJWS-SDMD
AJWS-VAA
AK-AKOT
AK-GAO
AK-HNL
AK-KNW
AK-MZR
AK-SVW
AK-UGWE
AK-YAD
AKD-BLX
AKD-SJP
AKE-BKU
AKE-MDAK
AKE-MOB
AKE-MZL
AKE-NZB
AKFS-AFK
AKI-SLP
AKI-WTR
AKIS-AFK
AKJ-CHBS
AKJ-SYW
AKK-HAH
AKK-MGF
AKKK-KRKN
AKKK-VAA
AKM-ELR
AKM-TADA
AKN-NAT
AKN-SGG
AKNB-LYD
AKOR-NGS
AKOR-TLT
AKOT-ABZ
AKOT-AK
AKOT-PTZ
AKP-BVM
AKP-THY
AKPK-KAPT
AKR-ANG
AKR-KSTH
AKR-PSIA
AKR-SRL
AKRA-BRJ
AKRA-NAI
AKRD-CCH
AKRD-DEHR
AKS-GCT
AKS-NDJ
AKT-AEYD
AKT-CCIP
AKT-IBH4
AKT-JRMG
AKT-LCA
AKT-LIPL
AKT-MKMA
AKT-NIA
AKTS-AAL
AKTS-ACLA
AKTS-MHJA
AKV-BH
AKV-BHNW
AKV-CCTA
AKV-JGI
AKV-KSB
AKV-PAO
AKVD-KKLR
AKVD-UNDI
AKW-ICL
AKW-RGU
AKWS-AMLO
AKWS-BRMO
AL-AVLI
AL-TNKU
ALAI-BWS
ALAI-CLO
ALAL-DUI
ALAL-SEQ
ALAT-KLND
ALAT-RDG
ALAU-BTD
ALAU-SAPR
ALB-HAPA
ALB-WTJ
ALBK-LYD
ALCK-KNF
ALD-AODS
ALD-ATSA
ALD-NYN
ALD-SFG
ALER-PBP
ALER-WP
ALEU-BRC
ALGP-HKD
ALGP-KTX
ALGP-LLBR
ALIK-KSG
ALIK-MNDV
ALIL-AEYD
ALIL-LIPL
ALJ-KPV
ALJ-RHN
ALJN-DAQ
ALJN-HGJ
ALJN-KRJ
ALJN-MWUE
ALJN-MZGI
ALK-BAL
ALK-TJ
ALLP-AMPA
ALLP-CHPD
ALLP-ERS
ALLP-MAKM
ALM-KPL
ALM-KUK
ALMG-BGBI
ALMG-BLPA
ALMG-GUP
ALMR-NGA
ALMR-UJ
ALN-BPAL
ALN-FSG
ALN-GPR
ALN-LNN
ALN-SHIV
ALNI-DDV
ALNI-RDT
ALP-CUPJ
ALP-PUC
ALPR-KRNT
ALPR-MOA
ALS-HTW
ALS-SV
ALU-ALUM
ALU-ALUS
ALU-ICG
ALU-OTK
ALU-SLTH
ALUH-KGG
ALUM-ALU
ALUR-BLLT
ALUR-HAS
ALUS-ALU
AMB-DKLU
AMB-LJR
AMB-MVAA
AMB-THV
AMBG-GOGT
AMBG-MAYP
AMBG-TAK
AMBH-AWP
AMBH-MTB
AMBK-MLBN
AMBK-SDMD
AMC-BBNH
AMC-CTA
AMC-HLV
AMC-JRU
AME-MFL
AME-TLKH
AMED-DRD
AMG-BLM
AMG-KKJ
AMG-LKO
AMG-LNWT
AMG-TPNR
AMGA-DDNI
AMGA-RGJI
AMH-RKS
AMH-SAA
AMI-BD
AMIN-KKDE
AMIN-NLKR
AML-BHET
AML-BIM
AML-IIDA
AML-VDH
AMLA-AMLX
AMLA-AMSG
AMLA-BYS
AMLA-BZU
AMLA-HRG
AMLA-JKR
AMLA-JMV
AMLA-NRKR
AMLG-SAGM
AMLI-IDG
AMLI-RWJ
AMLO-AKWS
AMLO-BRMO
AMLO-KGLI
AMLO-KGWS
AMLO-PUS
AMLX-AMLA
AMM-PKT
AMM-TAM
AMO-GAH
AMO-NKE
AMO-NRKG
AMP-BSLE
AMP-JTL
AMP-KNHR
AMP-KPLE
AMP-LBP
AMP-SNT
AMPA-ALLP
AMPA-HAD
AMPS-PSRS
AMPS-SJQ
AMQX-MLYG
AMQX-SNF
AMRD-RDR
AMRI-IAMR
AMRI-KNGT
AMRI-RE
AMRO-KFPR
AMRO-KIV
AMS-HPCM
AMS-MKG
AMS-ON
AMS-POF
AMSA-AMSC
AMSA-ASK
AMSA-BSN
AMSA-SPGR
AMSA-TK
AMSC-AMSA
AMSG-AMLA
AMSK-MHQ
AMSK-VAA
AMTA-MHLN
AMTA-PNKA
AMV-LBH
AMV-UTR
AMW-JUK
AMW-LHD
AMWM-MHQ
AMZ-BAC
AN-ASG
AN-ASN
AN-BRTK
AN-JL
AN-NDN
AN-TKHE
ANA-DMO
ANA-PHA
ANAS-BIO
ANAS-MGN
ANB-KRV
ANB-UGD
ANDB-BTE
ANDI-BHD
ANDI-DAZ
ANDI-DBSC
ANDI-DBSI
ANDI-DDSN
ANDI-NUR
ANDI-PTNR
ANDI-SZM
ANDM-CRP
ANDN-BMJ
ANDN-BNY
ANDN-CM
ANDN-JEA
ANDN-LIR
ANDN-NTV
ANE-KOU
ANE-OBVP
ANF-KMSI
ANF-SMET
ANF-SRF
ANF-TLGP
ANG-AKR
ANG-NAHT
ANG-NNB
ANG-PB
ANGL-JSPC
ANGL-JSPK
ANGL-KPJG
ANGL-TLHD
ANH-BCJ
ANH-BSYA
ANH-NBG
ANH-NPGA
ANH-SEB
ANI-ATR
ANI-KBCB
ANI-KNW
ANI-MTA
ANI-NKR
ANK-AAK
ANK-MMR
ANK-NSL
ANK-PB
ANK-POZ
ANK-YL
ANKL-GOK
ANKL-HAA
ANMD-BLSN
ANMD-LAE
ANND-KBRV
ANND-KOUA
ANND-PTD
ANND-SNA
ANND-SVL
ANND-VDA
ANND-VXD
ANNG-VLK
ANO-CHI
ANO-KHED
ANP-MV
ANP-VDL
ANPR-ATPS
ANPR-KRLR
ANPR-KRSL
ANR-BGA
ANR-GRB
ANR-PRR
ANR-RUI
ANSB-KART
ANSB-NLDM
ANSM-MLQ
ANT-BJBA
ANT-QG
ANT-SDUA
ANT-SINA
ANTU-JGJ
ANTU-MFL
ANU-CV
ANU-SGE
ANV-HVM
ANV-RVD
ANVT-CNJ
ANVT-DSBP
ANVT-SBB
ANY-NZT
ANY-TCN
AO-BTG
AO-CH
AO-KEG
AO-POSA
AOCD-DMR
AODS-ALD
AODS-PRYJ
AOMM-MALB
AONI-MMCA
AONI-SCE
AONI-SHTT
AP-KDO
AP-MYS
APA-BER
APA-SEU
APAP-DU
APCN-NKD
APDJ-CLD
APDJ-NCB
APDJ-RVK
APDJ-SMTA
APG-BKKS
APG-RMNR
APH-RMSR
APH-SRPR
API-DG
API-ODC
APJ-NIP
APJ-NNL
APJG-GODA
APK-TCH
APK-VPT
APKB-KRKN
APKB-VAA
APKH-NMA
APKH-SRGR
APL-BPP
APL-NDO
APLP-PRTP
APLS-SYL
APR-AAL
APR-CLF
APR-MZH
APRK-CRS
APSA-MDAR
APSN-BHAE
APT-AWCA
APT-BVL
APT-DWP
APT-ITCL
APT-RJY
APT-SLO
APTA-JITE
APTA-SMNE
APWP-PDT
AQG-OCH
AQG-PLCJ
AQG-POK
AQG-RDRA
AQG-THM
AQX-AJNI
ARA-BTA
ARA-BXR
ARA-GQN
ARA-KRS
ARA-KUA
ARA-SSM
ARAG-MRJ
ARAG-SGRE
ARCL-JRBM
ARCL-KTX
ARCL-MRBD
ARCL-SCA
ARCL-SCL
ARCL-SIBR
ARD-BTS
ARD-JER
ARE-KPTN
ARE-KPZ
ARG-BGDS
ARG-NRN
ARGD-BHKD
ARGD-BKAC
ARGD-BRKA
ARGD-KUJU
ARGD-RRME
ARGL-GAM
ARGL-HPGM
ARGL-KUR
ARI-AEH
ARI-ARI1
ARI-SLV
ARI1-ARI
ARIK-KRJ
ARIS-SDY
ARJ-BSB
ARJ-DHE
ARJ-JNU
ARJ-MAU
ARJ-MHO
ARJ-RJI
ARJ-SYH
ARK-GPJ
ARK-SMLG
ARKA-FGTP
ARKA-PQN
ARKA-UCR
ARL-BLU
ARL-KJN
ARMD-DLB
ARMU-MRTD
ARMU-NZB
ARN-BMKJ
ARN-MSMD
ARNA-BAK
ARNA-BKI
ARP-PFM
ARP-PFMB
ARP-RMC
ARPI-KUMU
ARPI-RAPR
ARPR-ABRV
ARPR-MTSI
ARR-KSY
ARR-SMH
ARSG-AGC
ARSR-RDR
ARV-KMM
ARV-PRL
ARVI-PLO
ARVY-YDLP
ARW-JEP
ARW-KYT
AS-MHJ
AS-RJS
ASAB-SBW
ASAF-BPA
ASAF-MGMA
ASAF-MSCA
ASAF-RLT
ASAF-RLW
ASAF-SKZR
ASAN-KURN
ASB-GTS
ASB-GVDP
ASB-JBCT
ASB-RHE
ASB-SLJR
ASBB-KRKN
ASBB-VAA
ASBK-CRP
ASBK-KNF
ASCE-KUW
ASCE-SRO
ASCR-RDR
ASD-KKY
ASD-SMD
ASE-ABO
ASE-BGZ
ASE-GHE
ASE-HPCA
ASE-SPZ
ASFC-DGR
ASG-AN
ASGN-GHNH
ASH-DAL
ASH-LC
ASH-LJN
ASH-MKG
ASK-AMSA
ASK-BVR
ASK-DRU
ASK-HAS
ASK-HHT
ASK-HVL
ASKB-LYD
ASKN-HPKA
ASKN-RIKA
ASKR-GUMA
ASKR-HB
ASL-NKI
ASL-PSO
ASLG-KVR
ASLS-KVR
ASLU-CUR
ASLU-DKX
ASMA-ASR
ASN-AN
ASN-ASNE
ASN-BCQ
ASN-BURN
ASN-DMSA
ASN-KPK
ASNE-ASN
ASNE-KPK
ASNM-MLQ
ASNR-RDR
ASO-ATG
ASO-VSD
ASP-MGV
ASP-NRR
ASPR-CRS
ASPR-RKI
ASR-ASMA
ASR-ASRD
ASR-ATT
ASR-BGTN
ASR-CIA
ASR-MOW
ASR-MRSA
ASR-OCMS
ASR-TRA
ASR-VKA
ASRD-ASR
ASRN-RDR
ASSR-RDR
AST-BPAG
AST-BVH
AST-IAGR
AST-IOA
AST-MATP
AST-PRLN
AST-PWL
AST-PYLA
ASTL-BLH
ASV-ADI
ASV-HMT
ASV-NRD
ASWC-BN
AT-KAWR
AT-LOL
ATA-SSKI
ATA-URG
ATE-BUS
ATE-KHU
ATG-ASO
ATG-THS
ATH-BJK
ATH-BON
ATL-BARH
ATL-BKP
ATL-BKPL
ATL-KRNN
ATLP-LAKN
ATLP-PKW
ATM-BYXA
ATM-DQG
ATMB-BOR
ATMO-DSNI
ATMO-HW
ATMO-LRJ
ATMO-LRJC
ATMO-LRNC
ATMO-PRI
ATP-PSPY
ATP-TAC
ATPA-KAPE
ATPA-PJGM
ATPS-ANPR
ATQ-AYI
ATQ-PYK
ATR-ANI
ATR-NKR
ATRU-POR
ATRU-SYL
ATS-DOBH
ATS-GBQ
ATSA-ALD
ATSA-PRYJ
ATT-ASR
ATT-ATTB
ATT-KSA
ATTB-ATT
ATTB-LHR
ATU-CHSM
ATU-ETP
ATUL-ATUV
ATUL-BL
ATUL-PAD
ATUV-ATUL
ATUV-BL
AUB-BOE
AUB-BORA
AUB-GEOR
AUB-MXJ
AUB-RNI
AUB-TKG
AUBR-CPBH
AUBR-PES
AUL-MHA
AUL-SKA
AULS-SWA
AUNG-BKO
AUNG-KBN
AUR-DIB
AUR-HGJ
AUS-SDMK
AUS-TSD
AUWA-BWA
AUWA-MJ
AV-LT
AV-PI
AVA-LWR
AVA-WCPS
AVC-DVG
AVC-HRR
AVC-JRU
AVC-KTY
AVC-TLGI
AVD-ABU
AVD-AVDT
AVD-FCSA
AVD-HC
AVD-PAB
AVD-SSAS
AVD-VLK
AVDC-NEWC
AVDC-UPDP
AVDT-AVD
AVK-KXT
AVK-WEL
AVLI-AL
AVLI-BVAC
AVP-DTR
AVP-KDRI
AVP-RIM
AVRD-KDVI
AVRD-SVX
AVS-KKZ
AVS-PUU
AWB-CTH
AWB-DCCS
AWB-DLB
AWB-PBN
AWBB-BHAE
AWCA-APT
AWH-SYE
AWH-TUD
AWL-KKL
AWL-SCPD
AWM-MUGR
AWM-PGP
AWP-AMBH
AWP-HRH
AWP-MTB
AWR-AGS
AWR-BKI
AWR-BTSR
AWR-BWL
AWR-GZKA
AWR-MWW
AWR-PSL
AWY-AFK
AWY-KLMR
AWZ-BIA
AWZ-HSLD
AWZ-JCW
AXA-SDD
AXA-WKR
AXA-WKRA
AXR-BTTR
AXR-TMC
AY-ABP
AY-ACND
AY-AYC
AY-DRG
AY-KEA
AY-MUR
AYC-ACND
AYC-AY
AYC-BBK
AYC-MSOD
AYC-SLN
AYC-SLRP
AYI-ATQ
AYI-PVI
AYR-KFC
AYR-VDM
AYRN-CKRD
AYRN-CSR
AYRN-HJP
AYU-BCMR
AYU-BLPA
AYU-DDNI
AYU-JPZ
AYU-MZQ
AYU-NBQ
AYV-EDN
AYVN-BJM
AYVN-EDN
AYVN-SCT
AYVN-TML
AZ-AJLE
AZ-LCAE
AZA-KYQ
AZA-MRZA
AZR-KWE
AZR-MFA
BA-ADH
BA-BAMY
BA-BDTS
BA-DDR
BA-KHAR
BA-KILE
BA-MM
BA-RVJ
BA-STC
BAB-BPW
BAB-DSBG
BAB-KHJ
BAB-LAR
BABR-GLY
BABR-SHNR
BAC-AMZ
BAC-DJR
BAD-BPOL
BAD-FAR
BAD-IOCG
BAD-MTJ
BAE-CBBH
BAE-CDL
BAE-HNC
BAF-MAAR
BAF-SIRD
BAGA-KAWT
BAGA-KTWS
BAGA-NMK
BAGA-RGS
BAGA-UNCB
BAGJ-POU
BAGJ-RKL
BAGL-DGA
BAGL-GJH
BAGN-DBLN
BAGN-SMPN
BAH-DVGM
BAH-MITA
BAHI-CHKE
BAHI-CTA
BAHL-QG
BAHW-HPL
BAHW-TAK
BAI-JHIR
BAI-KUT
BAIS-SBE
BAJ-OD
BAJ-SNA
BAJN-JTX
BAJN-SADL
BAK-ARNA
BAK-DO
BAKA-BHLE
BAKA-CNDN
BAKA-KARJ
BAKA-MRHA
BAKL-MUA
BAKL-RJN
BAKT-BHGJ
BAKT-BNKI
BAL-ALK
BAL-SGM
BAL-TJ
BALE-PK
BALE-SUR
BALR-BPOB
BALR-BTT
BALR-DEOS
BALR-GB
BALR-SANR
BALT-BKNM
BALT-BTNG
BALT-DJR
BALU-CLKA
BALU-SLZ
BAM-GTA
BAM-JNP
BAMR-RAIR
BAMR-SRGP
BAMY-BA
BAND-BLRR
BAND-BPHI
BAND-BYPL
BAND-HEB
BAND-LOGH
BAND-SMVB
BANE-BGKT
BANE-SZ
BANI-GNG
BANI-JAIS
BANO-KNRN
BANO-MCZ
BAO-BNSG
BAO-DHO
BAO-RRU
BAO-SANK
BAP-CIT
BAP-PDGN
BAQ-BET
BAQ-PAI
BAR-HP
BAR-SEU
BARA-PPR
BARD-BEHR
BARD-JOBA
BARH-ATL
BARH-BSPB
BARH-PHK
BARI-DHOA
BARJ-GANL
BARJ-KART
BARJ-RPAR
BARL-BSC
BARL-GLH
BARN-CCRL
BARN-DDJ
BARS-BEDM
BARS-BINR
BASR-BHA
BASR-JATP
BAST-SSCR
BAT-CHN
BAT-DHW
BAT-JNT
BAT-MRSB
BAT-QDN
BAT-VKA
BATL-BJRI
BATL-KTMA
BAU-AGQ
BAU-WGA
BAV-MMS
BAV-SPT
BAW-GHL
BAW-NMGA
BAW-YPR
BAW-YPRA
BAWA-BISH
BAWA-MKSR
BAWA-RHI
BAWD-DWD
BAWD-KBH
BAY-BAYP
BAY-BIOP
BAY-BYC
BAY-HDD
BAY-HGI
BAY-MOCB
BAY-OBM
BAY-RDG
BAY-SLM
BAYP-BAY
BAYP-BYC
BAYP-OBM
BAZ-CJW
BAZ-SDLK
BBA-CH
BBA-DN
BBA-HGJ
BBA-MTCL
BBA-RG
BBA-YFIB
BBAI-LKKD
BBAI-NWU
BBC-GDD
BBC-JSA
BBD-KLBG
BBD-SVG
BBDA-DRGU
BBDA-GTD
BBDA-GUG
BBDA-KSX
BBDB-BBR
BBDB-PPGT
BBDE-GRA
BBDE-KFU
BBDE-PNP
BBGN-BLMR
BBGN-NMGY
BBI-BCTL
BBI-BTCP
BBI-ICML
BBI-IKRA
BBI-SDUL
BBI-STN
BBI-SUDL
BBI-TOP
BBJM-BGB
BBJM-KBGB
BBK-AYC
BBK-BUW
BBK-FCIB
BBK-JBR
BBK-ML
BBK-RES
BBK-SFH
BBL-BDN
BBL-JGR
BBM-BRMD
BBM-PBBM
BBM-URMA
BBMN-JAT
BBMN-MSBB
BBMN-VJPJ
BBMT-TLHR
BBN-BJMD
BBN-BYX
BBN-IDCS
BBN-MOMB
BBN-NIDB
BBN-PMRB
BBNB-ACPR
BBNB-NLP
BBNB-NSBG
BBNB-SPTR
BBNB-SRPN
BBNH-AMC
BBNH-JRU
BBNH-MMEC
BBO-HPU
BBO-QXR
BBQ-KOK
BBQ-MAS
BBQ-MASS
BBQ-MMC
BBQ-SO
BBQ-VPY
BBQ-WST
BBR-BBDB
BBR-KOAA
BBS-MCS
BBS-RTN
BBSB-BJRI
BBSD-DBU
BBSK-BYX
BBSN-BRAG
BBSN-MCS
BBT-DDC
BBT-MMG
BBTR-GDYA
BBTR-MGRD
BBU-DGO
BBU-MTGE
BBW-CPJ
BBW-PPC
BBYP-BCNY
BBYP-BSPM
BC-BE
BC-BRY
BC-IZN
BCA-BJU
BCA-HJP
BCA-SPJ
BCA-STJT
BCA-TGA
BCA-VPDA
BCB-JBO
BCB-MLBN
BCB-SDMD
BCBM-BUMH
BCCB-BSP
BCCB-BSPM
BCCB-USL
BCCK-KLMG
BCCK-KLMI
BCD-BUI
BCD-STW
BCDL-UKA
BCF-NGX
BCF-SPS
BCFG-GHD
BCH-KSH
BCH-PUO
BCHL-AGZ
BCHL-BHNS
BCHL-KRDL
BCHL-NMDB
BCHN-BDRN
BCHN-KTNA
BCHN-PTD
BCHN-VDA
BCI-DIC
BCJ-ANH
BCJ-FOCS
BCK-HAUR
BCK-SMCK
BCL-CCG
BCL-DDR
BCL-DR
BCL-GTR
BCL-MX
BCMB-BLP
BCME-BCQ
BCME-HSME
BCMR-AYU
BCMR-CHAA
BCMT-TLHR
BCN-KVG
BCN-SAGR
BCNW-BRR
BCNY-BBYP
BCNY-BSP
BCOB-CHIB
BCOB-VONB
BCP-AGC
BCP-IDH
BCP-RAI
BCPG-GAD
BCPG-SCSK
BCPL-LPK
BCQ-ASN
BCQ-BCME
BCQ-HSME
BCQ-SCOB
BCQ-STN
BCRB-BJRI
BCRY-RAY
BCSA-UKA
BCSB-BUH
BCSK-KRSL
BCSL-BMSL
BCSL-BNDM
BCSP-BHKD
BCSR-RAY
BCSW-STA
BCTL-BBI
BCTL-TOP
BCU-BTIC
BCU-LHM
BCY-BSB
BCY-BSBA
BCY-SRNT
BD-AMI
BD-BDYX
BD-MZR
BD-NAVI
BD-PLO
BD-TKI
BD-TMT
BDA-BRC
BDA-BRGY
BDAG-BDLC
BDAG-BHW
BDAG-GMAN
BDAG-TDLE
BDB-MSE
BDB-MTJ
BDBA-CTC
BDBA-IOSP
BDBA-PRDP
BDBA-RHMA
BDC-ADST
BDC-BHR
BDC-BSAE
BDC-CNS
BDC-HYG
BDC-MUG
BDC-NHLC
BDCR-BTPD
BDCR-GLE
BDCR-KRA
BDCR-KTPG
BDCR-MNVG
BDCR-PSHP
BDCR-RUSG
BDDY-BSPM
BDDY-DGTY
BDE-CCP
BDE-PAVI
BDGM-MZMA
BDGM-SINA
BDGU-GIN
BDGU-JBGD
BDH-BHP
BDH-PCQ
BDHG-HNEO
BDHG-MGCH
BDHG-UCLH
BDHL-KMNP
BDHL-PCMK
BDHN-JKM
BDHY-CHNR
BDHY-KTHU
BDI-BSL
BDI-JL
BDI-OCSB
BDIH-CHAS
BDIH-TLES
BDIN-LBA
BDIN-PKX
BDJ-MAHE
BDJ-TKT
BDKD-BMC
BDKD-CWA
BDKD-ULA
BDKN-SHNG
BDKN-SLN
BDL-BEO
BDL-MZP
BDLC-BDAG
BDLC-BHW
BDLC-GMAN
BDLN-DMC
BDLN-GOM
BDLS-BYX
BDM-GED
BDM-LKY
BDMA-DMH
BDMA-MRIJ
BDME-JSME
BDMJ-DWNA
BDMJ-GNU
BDMJ-IBBM
BDMJ-RUG
BDMJ-SMK
BDN-BBL
BDN-BDNN
BDN-DPSB
BDN-ETW
BDN-KAA
BDN-SKB
BDNK-MDU
BDNK-TE
BDNK-TENI
BDNN-BDN
BDNN-BPUN
BDNN-TDLN
BDNP-BRE
BDNP-SJT
BDO-HLD
BDO-OND
BDPK-MBMB
BDPK-MGBK
BDPK-MRDL
BDPK-SCMP
BDPK-SCPM
BDPK-TLHD
BDPK-TTPT
BDPL-NLPD
BDPL-SRPM
BDRL-PANP
BDRL-Y
